time,temperature,feels_like,app_temp,dew_point,humidity,wind_direction,wind_speed,wind_gust,pressure_relative,pressure_absolute,rainfall
2024-11-20,24.3125,24.3125,24.625,10.975,43.25,98.625,0.0,0.0,29.918750000000003,28.04875,0.0
2024-11-21,27.8125,28.40625,30.0,17.235416666666666,53.3125,100.97916666666669,0.9875,2.310416666666667,29.886666666666667,28.017291666666665,0.3
2024-11-22,28.069565217391304,28.589130434782607,30.317391304347822,17.471739130434784,54.891304347826086,164.7173913043478,1.1021739130434782,2.830434782608696,29.832391304347823,27.96260869565217,0.0
2024-11-23,28.42083333333333,29.227083333333336,31.23333333333333,18.53125,56.04166666666666,192.0625,0.69375,2.0645833333333337,29.863333333333333,27.99354166666667,0.0
2024-11-24,25.90416666666667,26.58333333333333,29.00208333333333,19.883333333333333,70.0625,99.125,1.7166666666666668,3.904166666666667,29.960625,28.09125,0.0
2024-11-25,28.741666666666664,29.0,30.69375,16.73125,51.54166666666666,110.89583333333331,1.1666666666666667,3.1208333333333336,29.859166666666667,27.990416666666665,0.0
2024-11-26,30.027083333333334,30.42083333333333,31.77083333333333,16.745833333333334,46.47916666666666,174.1875,1.69375,4.152083333333334,29.75520833333333,27.885625,0.0
2024-11-27,31.53125,32.34791666666667,33.6875,18.510416666666668,48.41666666666666,292.6666666666667,2.739583333333333,6.241666666666667,29.66416666666667,27.795,15.4
2024-11-28,19.960416666666667,19.960416666666667,21.922916666666666,17.441666666666666,85.8125,137.22916666666666,2.0125,4.679166666666666,29.898750000000003,28.029791666666668,17.4
2024-11-29,22.116666666666664,22.11458333333333,22.89375,14.122916666666669,62.29166666666666,129.08333333333334,1.7020833333333334,4.022916666666666,30.04479166666667,28.175625,0.0
2024-11-30,23.25208333333333,23.24375,24.277083333333334,14.43125,59.1875,146.8125,1.2104166666666667,3.047916666666667,30.039375000000003,28.17,0.0
2024-12-01,26.666666666666668,26.641666666666666,27.54375,14.225,49.22916666666666,132.0625,1.4541666666666666,3.4770833333333333,29.892291666666665,28.02270833333333,0.0
2024-12-02,29.004166666666663,28.91875,29.43958333333333,13.327083333333334,40.645833333333336,113.47916666666669,1.9375,4.570833333333334,29.77125,27.902708333333333,0.0
2024-12-03,30.4625,30.541666666666668,31.14583333333333,13.910416666666668,40.79166666666666,104.33333333333331,2.027083333333333,4.795833333333333,29.74770833333333,27.87875,0.0
2024-12-04,32.166666666666664,32.00833333333333,32.74583333333333,13.427083333333334,33.166666666666664,155.20833333333334,1.58125,3.85,29.72625,27.856875,0.0
2024-12-05,32.625,32.65,33.729166666666664,15.24375,37.083333333333336,121.22916666666669,1.94375,4.15,29.718125,27.848541666666662,0.0
2024-12-06,33.077083333333334,33.458333333333336,34.69583333333333,16.358333333333334,37.958333333333336,107.83333333333331,1.6291666666666669,3.741666666666666,29.72645833333333,27.85770833333333,0.0
2024-12-07,27.06875,28.03125,29.664583333333336,20.035416666666663,66.02083333333333,131.14583333333334,3.6458333333333335,7.583333333333333,29.91375,28.04375,0.0
2024-12-08,25.027083333333334,25.83125,28.825,20.741666666666667,78.70833333333333,157.27083333333334,0.8145833333333333,2.333333333333333,29.973333333333333,28.104375,5.2
2024-12-09,30.20625,31.77916666666667,33.43125,19.789583333333333,55.6875,217.3125,1.2104166666666667,3.1645833333333333,29.945625000000003,28.07604166666667,0.0
2024-12-10,31.13958333333333,32.800000000000004,34.47708333333333,20.03333333333333,53.75,205.22916666666663,1.2083333333333333,3.0979166666666664,29.875208333333333,28.005416666666665,0.0
2024-12-11,32.050000000000004,32.32083333333333,33.891666666666666,16.652083333333334,42.395833333333336,152.91666666666666,1.3875,3.372916666666667,29.83333333333333,27.96395833333333,0.0
2024-12-12,32.7875,32.89791666666667,33.69583333333333,14.233333333333334,34.6875,109.97916666666669,1.4875,3.7,29.743125000000003,27.87375,0.0
2024-12-13,34.78541666666667,34.71041666666667,35.266666666666666,13.21875,29.0,135.20833333333334,1.7041666666666666,4.110416666666667,29.66708333333333,27.797916666666666,0.0
2024-12-14,24.44375,24.666666666666668,26.59583333333333,18.90625,71.70833333333333,140.41666666666666,3.283333333333333,7.272916666666667,29.947916666666668,28.078541666666663,0.2
2024-12-15,26.45625,27.28333333333333,28.95625,18.5875,63.8125,128.52083333333334,1.7625,4.039583333333334,29.92333333333333,28.05395833333333,0.0
2024-12-16,32.17916666666667,32.52708333333333,34.04375,17.058333333333334,43.333333333333336,105.3125,1.7145833333333331,4.233333333333333,29.78979166666667,27.920416666666668,0.0
